country,total_tourists
Ισλανδία,7159
Μάλτα,8765
Αίγυπτος - Σουδάν,22494
Κροατία,26267
Ιράν,28367
Ν. Κορέα,28636
Λοιπά κράτη Αφρικής,49311
Ιαπωνία,50798
Εσθονία,53259
Μεξικό,53933
Λεττονία,74508
Λουξεμβούργο,82606
Πορτογαλία,82628
Νοτιοαφρικανική Ενωση,83985
Λίβανος - Συρία,86142
Αργεντινή,92128
Κίνα,103843
Σλοβενία,112234
Λοιπά κράτη Μ. Ανατολής,114295
Λοιπά κράτη Αμερικής,119985
Λιθουανία,125023
Βραζιλία,162809
Σλοβακία,194651
Ιρλανδία,203397
Ουγγαρία,309224
Ισπανία,538707
Αυστραλία,545940
Καναδάς,577396
Φινλανδία,627352
Ισραήλ,843291
Δανία,893068
Νορβηγία,1031687
Αυστρία,1068376
Τσεχία,1232685
Ρουμανία,1276322
Σουηδία,1360259
Ελβετία,1384612
Βέλγιο,1513307
Πολωνία,1679479
Κύπρος,1711927
Αλβανία,1873359
Η.Π.Α.,1916904
Ολλανδία,2277405
Τουρκία,2962263
Βουλγαρία,3511751
Ιταλία,3868324
Ρωσία,4216783
Γαλλία,4742132
Ην. Βασίλειο,7614742
Λοιπά Κράτη Ευρώπης,7906527
Γερμανία,9076034
